ladder,threshold,side,target,stat,amount,condition
TEAM,200,LEFT,BATTER_ALL,파워,3,ALWAYS
TEAM,200,LEFT,BATTER_ALL,정확,3,ALWAYS
TEAM,200,LEFT,BATTER_ALL,선구,3,ALWAYS
TEAM,200,LEFT,PITCHER_ALL,변화,3,ALWAYS
TEAM,200,LEFT,PITCHER_ALL,구위,3,ALWAYS
TEAM,240,LEFT,BATTER_ALL,파워,2,ALWAYS
TEAM,240,LEFT,BATTER_ALL,정확,2,ALWAYS
TEAM,240,LEFT,BATTER_ALL,선구,1,ALWAYS
TEAM,240,RIGHT,PITCHER_ALL,변화,2,ALWAYS
TEAM,240,RIGHT,PITCHER_ALL,구위,2,ALWAYS
TEAM,260,LEFT,SP,변화,1,ALWAYS
TEAM,260,RIGHT,RP_CP,구위,1,ALWAYS
TEAM,280,LEFT,BATTER_ALL,파워,2,CARD_LIVE_SEASON
TEAM,280,LEFT,BATTER_ALL,정확,2,CARD_LIVE_SEASON
TEAM,280,LEFT,BATTER_ALL,선구,2,CARD_LIVE_SEASON
TEAM,280,LEFT,PITCHER_ALL,변화,2,CARD_LIVE_SEASON
TEAM,280,LEFT,PITCHER_ALL,구위,2,CARD_LIVE_SEASON
TEAM,280,RIGHT,BATTER_ALL,파워,1,CARD_NOT_LIVE_SEASON
TEAM,280,RIGHT,BATTER_ALL,정확,1,CARD_NOT_LIVE_SEASON
TEAM,280,RIGHT,BATTER_ALL,선구,1,CARD_NOT_LIVE_SEASON
TEAM,280,RIGHT,PITCHER_ALL,변화,1,CARD_NOT_LIVE_SEASON
TEAM,280,RIGHT,PITCHER_ALL,구위,1,CARD_NOT_LIVE_SEASON
TEAM,300,LEFT,2B|SS,정확,2,ALWAYS
TEAM,300,RIGHT,1B|3B,파워,2,ALWAYS
TEAM,315,LEFT,BATTER_ALL,파워,1,ALWAYS
TEAM,315,LEFT,BATTER_ALL,정확,1,ALWAYS
TEAM,315,LEFT,BATTER_ALL,선구,1,ALWAYS
TEAM,315,LEFT,PITCHER_ALL,변화,1,ALWAYS
TEAM,315,LEFT,PITCHER_ALL,구위,1,ALWAYS
TEAM,360,LEFT,LF|CF|RF|DH,파워,1,ALWAYS
TEAM,360,LEFT,LF|CF|RF|DH,정확,1,ALWAYS
TEAM,360,RIGHT,SP,구위,1,ALWAYS
TEAM,375,LEFT,BATTER_ALL,파워,1,CARD_LIVE_SEASON
TEAM,375,LEFT,BATTER_ALL,정확,1,CARD_LIVE_SEASON
TEAM,375,LEFT,BATTER_ALL,선구,1,CARD_LIVE_SEASON
TEAM,375,LEFT,PITCHER_ALL,변화,1,CARD_LIVE_SEASON
TEAM,375,LEFT,PITCHER_ALL,구위,1,CARD_LIVE_SEASON
TEAM,375,RIGHT,BATTER_ALL,파워,1,CARD_NOT_LIVE_SEASON
TEAM,375,RIGHT,BATTER_ALL,정확,1,CARD_NOT_LIVE_SEASON
TEAM,375,RIGHT,BATTER_ALL,선구,1,CARD_NOT_LIVE_SEASON
TEAM,375,RIGHT,PITCHER_ALL,변화,1,CARD_NOT_LIVE_SEASON
TEAM,375,RIGHT,PITCHER_ALL,구위,1,CARD_NOT_LIVE_SEASON
TEAM,390,LEFT,BATTER_ALL,정확,1,ORDER_1_2
TEAM,390,LEFT,BATTER_ALL,선구,1,ORDER_1_2
