skill_id,level,option,score,selector,source
BLACK_001,5,"DH, 14≥LA≥10",21.4,MANUAL,"[S0] 퓨어 히터 (DH, 14≥LA≥10)"
BLACK_001,5,"DH, LA≤14",15.9,MANUAL,"[S0] 퓨어 히터 (DH, LA≤14)"
BLACK_001,5,"DH, LA≥10",14.9,MANUAL,"[S0] 퓨어 히터 (DH, LA≥10)"
BLACK_001,5,X,9.4,MANUAL,[S0] 퓨어 히터 (X)
BLACK_001,6,"DH, 14≥LA≥10",33.3,MANUAL,"[S1] 퓨어 히터 (DH, 14≥LA≥10)"
BLACK_001,6,"DH, LA≤14",24.5,MANUAL,"[S1] 퓨어 히터 (DH, LA≤14)"
BLACK_001,6,"DH, LA≥10",22.9,MANUAL,"[S1] 퓨어 히터 (DH, LA≥10)"
BLACK_001,6,X,14.1,MANUAL,[S1] 퓨어 히터 (X)
BLACK_001,7,"DH, 14≥LA≥10",42.85,MANUAL,"[S2] 퓨어 히터 (DH, 14≥LA≥10)"
BLACK_001,7,"DH, LA≤14",30.75,MANUAL,"[S2] 퓨어 히터 (DH, LA≤14)"
BLACK_001,7,"DH, LA≥10",28.55,MANUAL,"[S2] 퓨어 히터 (DH, LA≥10)"
BLACK_001,7,X,16.45,MANUAL,[S2] 퓨어 히터 (X)
BLACK_002,5,-,12.7,ALWAYS,[S0] 황금 정신 (-)
BLACK_002,6,-,23.4,ALWAYS,[S1] 황금 정신 (-)
BLACK_002,7,-,32.1,ALWAYS,[S2] 황금 정신 (-)
BLACK_003,5,-,10,ALWAYS,[S0] 리그 주도자 (-)
BLACK_003,6,-,12,ALWAYS,[S1] 리그 주도자 (-)
BLACK_003,7,-,14,ALWAYS,[S2] 리그 주도자 (-)
BLACK_004,5,,17.44,ALWAYS,[S0]리듬 메이커
BLACK_004,6,,28.66,ALWAYS,[S1]리듬 메이커
BLACK_004,7,,40.52,ALWAYS,[S2]리듬 메이커
BLACK_005,5,O,21.4,ORDER=4..5,[S0] 타점 생성기 (O)
BLACK_005,5,X,9.4,!ORDER=4..5,[S0] 타점 생성기 (X)
BLACK_005,6,O,28.55,ORDER=4..5,[S1] 타점 생성기 (O)
BLACK_005,6,X,11.75,!ORDER=4..5,[S1] 타점 생성기 (X)
BLACK_005,7,O,40.5,ORDER=4..5,[S2] 타점 생성기 (O)
BLACK_005,7,X,14.1,!ORDER=4..5,[S2] 타점 생성기 (X)
BLACK_006,5,,9.02,ALWAYS,[S0]기회의 불꽃
BLACK_006,6,,12.72,ALWAYS,[S1]기회의 불꽃
BLACK_006,7,,16.03,ALWAYS,[S2]기회의 불꽃
BLACK_007,5,O,17.4,ORDER=8..9,[S0] 용기 (O)
BLACK_007,5,X,9.4,!ORDER=8..9,[S0] 용기 (X)
BLACK_007,6,O,26.1,ORDER=8..9,[S1] 용기 (O)
BLACK_007,6,X,14.1,!ORDER=8..9,[S1] 용기 (X)
BLACK_007,7,O,32.45,ORDER=8..9,[S2] 용기 (O)
BLACK_007,7,X,16.45,!ORDER=8..9,[S2] 용기 (X)
BLACK_008,5,-,7.9,ALWAYS,[S0] 타점 사냥꾼 (-)
BLACK_008,6,-,14.2,ALWAYS,[S1] 타점 사냥꾼 (-)
BLACK_008,7,-,17.35,ALWAYS,[S2] 타점 사냥꾼 (-)
BLACK_009,5,-,10.4,ALWAYS,[S0] 도전 본능 (-)
BLACK_009,6,-,18.45,ALWAYS,[S1] 도전 본능 (-)
BLACK_009,7,-,24.15,ALWAYS,[S2] 도전 본능 (-)
BLACK_010,5,1번타자,12,ORDER=1,[S0] 선제 공격 (1번타자)
BLACK_010,5,DH,9.4,POS=DH,[S0] 선제 공격 (DH)
BLACK_010,5,"DH, 1번 타자",21.4,POS=DH&ORDER=1,"[S0] 선제 공격 (DH, 1번 타자)"
BLACK_010,5,X,0,MANUAL,[S0] 선제 공격 (X)
BLACK_010,6,1번타자,19.2,ORDER=1,[S1] 선제 공격 (1번타자)
BLACK_010,6,DH,16.45,POS=DH,[S1] 선제 공격 (DH)
BLACK_010,6,"DH, 1번 타자",35.65,POS=DH&ORDER=1,"[S1] 선제 공격 (DH, 1번 타자)"
BLACK_010,6,X,0,MANUAL,[S1] 선제 공격 (X)
BLACK_010,7,1번타자,24,ORDER=1,[S2] 선제 공격 (1번타자)
BLACK_010,7,DH,21.15,POS=DH,[S2] 선제 공격 (DH)
BLACK_010,7,"DH, 1번 타자",45.15,POS=DH&ORDER=1,"[S2] 선제 공격 (DH, 1번 타자)"
BLACK_010,7,X,0,MANUAL,[S2] 선제 공격 (X)
BLACK_011,5,-,14.216273,ALWAYS,[S0] 통찰 (-)
BLACK_011,6,-,18.920341,ALWAYS,[S1] 통찰 (-)
BLACK_011,7,-,23.62441,ALWAYS,[S2] 통찰 (-)
BLACK_012,5,-,16.8,ALWAYS,[S0] 배팅 천재 (-)
BLACK_012,6,-,24,ALWAYS,[S1] 배팅 천재 (-)
BLACK_012,7,-,31.2,ALWAYS,[S2] 배팅 천재 (-)
BLACK_013,5,-,13.5,ALWAYS,[S0] 안정 투구 (-)
BLACK_013,6,-,22.06,ALWAYS,[S1] 안정 투구 (-)
BLACK_013,7,-,31.94,ALWAYS,[S2] 안정 투구 (-)
BLACK_014,5,-,13.4,ALWAYS,[S0] 황금 정신 (-)
BLACK_014,6,-,24.45,ALWAYS,[S1] 황금 정신 (-)
BLACK_014,7,-,33.15,ALWAYS,[S2] 황금 정신 (-)
BLACK_015,5,-,11.75,ALWAYS,[S0] 리그의 주도자 (-)
