skill_id,stat,condition,values,base_stat
S_001,파워,좌투상대,1/2/3/4/5/6/7/8/9,
S_001,정확,좌투상대,1/2/3/4/5/6/7/8/9,
S_002,파워,우투상대,1/2/3/4/5/6/7/8/9,
S_002,정확,우투상대,1/2/3/4/5/6/7/8/9,
S_003,파워,주자2루이상,2/3/4/5/6/7/8/9/10,
S_003,정확,주자2루이상,2/3/4/5/6/7/8/9/10,
S_004,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
S_004,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
S_004,선구,ALWAYS,1/2/3/4/5/6/7/8/9,
S_004,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
S_004,주루,ALWAYS,1/2/3/4/5/6/7/8/9,
S_004,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
S_006,파워,좌타상대,1/2/3/4/5/6/7/8/9,
S_006,정확,좌타상대,1/2/3/4/5/6/7/8/9,
S_007,파워,우타상대,1/2/3/4/5/6/7/8/9,
S_007,정확,우타상대,1/2/3/4/5/6/7/8/9,
S_008,파워,주자2루이상,2/3/4/5/6/7/8/9/10,
S_008,정확,주자2루이상,2/3/4/5/6/7/8/9/10,
S_009,구위,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
S_009,변화,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
S_009,제구,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
S_009,구속,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
B_001,파워,초구,1/2/3/4/5/6/7/8/9,
B_001,정확,초구,1/2/3/4/5/6/7/8/9,
B_001,선구,초구,1/2/3/4/5/6/7/8/9,
B_001,인내,초구,1/2/3/4/5/6/7/8/9,
B_001,주루,초구,1/2/3/4/5/6/7/8/9,
B_001,수비,초구,1/2/3/4/5/6/7/8/9,
B_002,파워,리드아님,1/2/3/4/5/6/7/8/9,
B_002,정확,리드아님,1/2/3/4/5/6/7/8/9,
B_002,선구,리드아님,1/2/3/4/5/6/7/8/9,
B_003,파워,리드,1/2/3/4/5/6/7/8/9,
B_003,정확,리드,1/2/3/4/5/6/7/8/9,
B_003,선구,리드,1/2/3/4/5/6/7/8/9,
B_004,정확,주자없음,1/2/3/4/5/6/7/8/9,
B_004,선구,주자없음,1/2/3/4/5/6/7/8/9,
B_004,인내,주자없음,1/2/3/4/5/6/7/8/9,
B_005,파워,스윗스팟,2/3/4/5/7/8/9/11/12,
B_006,구위,ALWAYS,1/2/3/4/5/6/7/8/9,
B_006,제구,ALWAYS,1/1/2/2/3/3/4/5/6,
B_007,지구력,ALWAYS,1/2/3/4/5/6/7/8/9,
B_008,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
B_008,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
B_008,선구,ALWAYS,1/2/3/4/5/6/7/8/9,
B_008,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
B_009,파워,2아웃,2/3/4/5/6/7/8/9/10,
B_010,변화,ALWAYS,2/3/4/5/6/7/8/9/10,
B_010,구속,ALWAYS,2/3/4/5/6/7/8/9/10,
I_001,파워,ALWAYS,2/3/4/5/6/7/8/9/10,
I_002,파워,ALWAYS,2/3/4/5/6/7/8/9/10,
I_003,정확,직구상대,1/2/3/4/5/6/7/8/9,
I_003,인내,직구상대,1/1/2/2/3/3/4/5/6,
I_004,파워,풀카운트,1/2/3/4/5/6/7/8/9,
I_004,정확,풀카운트,1/2/3/4/5/6/7/8/9,
I_004,선구,풀카운트,1/2/3/4/5/6/7/8/9,
I_004,인내,풀카운트,1/2/3/4/5/6/7/8/9,
I_004,주루,풀카운트,1/2/3/4/5/6/7/8/9,
I_004,수비,풀카운트,1/2/3/4/5/6/7/8/9,
I_005,정확,변화구상대,1/2/3/4/5/6/7/8/9,
I_005,인내,변화구상대,1/1/2/2/3/3/4/5/6,
I_007,구속,속구선택,1/2/3/4/5/6/7/8/9,
I_007,구위,속구선택,1/1/2/2/3/3/4/5/6,
I_008,변화,변화구선택,1/2/3/4/5/6/7/8/9,
I_008,제구,변화구선택,1/1/2/2/3/3/4/5/7,
I_009,구위,풀카운트,1/2/3/4/5/6/7/8/9,
I_009,변화,풀카운트,1/2/3/4/5/6/7/8/9,
I_009,제구,풀카운트,1/2/3/4/5/6/7/8/9,
I_009,구속,풀카운트,1/2/3/4/5/6/7/8/9,
G_001,파워,ALWAYS,2/3/4/5/6/7/8/9/10,
G_001,정확,ALWAYS,2/3/4/5/6/7/8/9/10,
G_001,선구,ALWAYS,2/3/4/5/6/7/8/9/10,
G_002,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_003,파워,높은공,3/4/5/6/8/10/12/14/15,
G_004,파워,주자있음,1/2/3/4/5/6/7/8/9,
G_005,정확,ALWAYS,4/5/6/7/8/9/10/11/12,
G_005,인내,ALWAYS,4/5/6/7/8/9/10/11/12,
G_006,파워,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
G_006,정확,타순3_4_5+타순4_5,1/2/3/4/5/6/7/8/9,
G_007,파워,OVR열세,3/4/5/6/7/8/9/10/11,
G_007,정확,OVR열세,3/4/5/6/7/8/9/10/11,
G_007,선구,OVR열세,3/4/5/6/7/8/9/10/11,
G_007,인내,OVR열세,3/4/5/6/7/8/9/10/11,
G_008,주루,ALWAYS,3/4/5/6/7/8/9/10/11,
G_009,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_009,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_009,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_009,파워,홈,1,
G_009,정확,홈,1,
G_009,인내,홈,1,
G_010,선구,타순1_2,3/4/5/6/7/8/9/10/11,
G_010,주루,타순1_2,3/4/5/6/7/8/9/10/11,
G_010,선구,타순1_2,2,
G_010,주루,타순1_2,2,
G_010,정확,타순1_2,1/1/2/2/3/3/4/4/5,
G_010,인내,타순1_2,1/1/2/2/3/3/4/4/5,
G_011,변화,ALWAYS,1/2/3/4/5/6/7/8/9,
G_011,제구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_011,파워,대타첫타석,5/6/7/8/9/10/11/12/13,
G_011,정확,대타첫타석,5/6/7/8/9/10/11/12/13,
G_011,선구,대타첫타석,5/6/7/8/9/10/11/12/13,
G_012,주루,ALWAYS,1/2/3/4/5/6/7/8/9,
G_012,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
G_012,파워,모드_리그,4/5/6/7/8/10/12/14/16,
G_012,선구,모드_리그,4/5/6/7/8/10/12/14/16,
G_012,인내,모드_리그,4/5/6/7/8/10/12/14/16,
G_012,주루,모드_리그,4/5/6/7/8/10/12/14/16,
G_013,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_013,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_013,정확,주자있음,3,
G_013,선구,주자있음,3,
G_014,정확,ALWAYS,2/3/4/5/6/7/8/9/10,
G_014,주루,ALWAYS,2/3/4/5/6/7/8/9/10,
G_014,구위,타순6_9,1/2/3/4/5/6/7/8/9,
G_014,제구,타순6_9,1/2/3/4/5/6/7/8/9,
G_015,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,선구,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,주루,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,수비,ALWAYS,1/2/3/4/5/6/7/8/9,
G_015,파워,상대등급우세,1,
G_015,정확,상대등급우세,1,
G_015,선구,상대등급우세,1,
G_015,인내,상대등급우세,1,
G_015,주루,상대등급우세,1,
G_015,수비,상대등급우세,1,
G_016,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_016,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_016,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_016,파워,모드_랭킹대전+모드_라이브매치+모드_타점배틀+모드_랭킹슬러거,1,
G_016,인내,모드_랭킹대전+모드_라이브매치+모드_타점배틀+모드_랭킹슬러거,1,
G_016,수비,모드_랭킹대전+모드_라이브매치+모드_타점배틀+모드_랭킹슬러거,1,
G_017,인내,ALWAYS,2/3/4/5/6/7/8/9/10,
G_017,주루,ALWAYS,2/3/4/5/6/7/8/9/10,
G_017,수비,ALWAYS,2/3/4/5/6/7/8/9/10,
G_017,구위,타순3_4_5+타순4_5,2/3/4/5/6/7/8/9/10,
G_017,변화,타순3_4_5+타순4_5,2/3/4/5/6/7/8/9/10,
G_017,제구,타순3_4_5+타순4_5,2/3/4/5/6/7/8/9/10,
G_018,인내,ALWAYS,2/3/4/5/6/7/8/9/10,
G_018,주루,ALWAYS,2/3/4/5/6/7/8/9/10,
G_018,수비,ALWAYS,2/3/4/5/6/7/8/9/10,
G_018,구위,7회이후,2/3/4/5/6/7/8/9/10,
G_018,변화,7회이후,2/3/4/5/6/7/8/9/10,
G_018,제구,7회이후,2/3/4/5/6/7/8/9/10,
G_019,주루,ALWAYS,3/4/5/6/7/9/11/13/15,
G_019,수비,ALWAYS,3/4/5/6/7/9/11/13/15,
G_019,정확,타순6_9+타순8_9,2/3/4/5/6/8/10/12/14,
G_019,선구,타순6_9+타순8_9,2/3/4/5/6/8/10/12/14,
G_019,인내,타순6_9+타순8_9,2/3/4/5/6/8/10/12/14,
G_020,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_020,주루,ALWAYS,1/2/3/4/5/6/7/8/9,
G_020,파워,모드_랭킹대전+모드_라이브매치,2/3/4/5/6/7/8/9/10,
G_020,선구,모드_랭킹대전+모드_라이브매치,2/3/4/5/6/7/8/9/10,
G_021,파워,ALWAYS,1/2/3/4/5/6/7/8/9,
G_021,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_021,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_021,구위,원정,2/2/2/2/2/3/4/5/6,
G_021,변화,원정,2/2/2/2/2/3/4/5/6,
G_021,구속,원정,2/2/2/2/2/3/4/5/6,
G_022,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_022,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_022,파워,리드,3/4/5/6/7/8/9/10/11,
G_022,선구,리드,3/4/5/6/7/8/9/10/11,
G_023,주루,ALWAYS,2/3/4/5/6/7/9/11/13,
G_023,수비,ALWAYS,2/3/4/5/6/7/9/11/13,
G_023,파워,ALWAYS,0.01/0.01/0.02/0.02/0.02/0.03/0.03/0.04/0.04,주루+수비
G_023,정확,ALWAYS,0.01/0.01/0.02/0.02/0.02/0.03/0.03/0.04/0.04,주루+수비
G_024,파워,ALWAYS,1/2/2/3/4/5/7/9/11,
G_024,정확,ALWAYS,1/2/2/3/4/5/7/9/11,
G_024,선구,ALWAYS,1/2/2/3/4/5/7/9/11,
G_024,인내,ALWAYS,1/2/2/3/4/5/7/9/11,
G_024,주루,ALWAYS,3/3/4/4/5/5/6/6/7,
G_024,수비,ALWAYS,3/3/4/4/5/5/6/6/7,
G_025,구위,ALWAYS,1/1/2/2/3/4/5/6/7,
G_025,변화,ALWAYS,1/1/2/2/3/4/5/6/7,
G_025,제구,ALWAYS,1/1/2/2/3/4/5/6/7,
G_025,정확,발사각조건+타순1_2,2/3/3/4/4/5/5/6/6,
G_025,선구,발사각조건+타순1_2,2/3/3/4/4/5/5/6/6,
G_025,주루,발사각조건+타순1_2,2/3/3/4/4/5/5/6/6,
G_026,파워,ALWAYS,1/1/1/1/1/2/2/3/3,
G_026,정확,ALWAYS,1/1/1/1/1/2/2/3/3,
G_026,선구,ALWAYS,1/1/1/1/1/2/2/3/3,
G_026,인내,ALWAYS,1/1/1/1/1/2/2/3/3,
G_026,파워,OVR열세,1/2/3/4/5/6/7/8/9,
G_026,정확,OVR열세,1/2/3/4/5/6/7/8/9,
G_026,선구,OVR열세,1/2/3/4/5/6/7/8/9,
G_026,인내,OVR열세,1/2/3/4/5/6/7/8/9,
G_027,정확,ALWAYS,1/2/3/4/5/6/7/8/9,
G_027,인내,ALWAYS,1/2/3/4/5/6/7/8/9,
G_027,구속,포지션_C,1/1/1/1/1/1/2/2/2,
G_027,변화,포지션_C,0/1/1/1/1/1/1/2/2,
G_027,제구,포지션_C,0/0/0/1/1/1/1/1/1,
G_027,구위,포지션_C,0/0/0/0/0/1/1/1/1,
G_028,파워,ALWAYS,1/2/3/4/5/6/7/9/10,
G_028,정확,ALWAYS,1/2/3/4/5/6/7/9/10,
G_028,인내,ALWAYS,1/2/3/4/5/6/7/9/10,
G_028,정확,구위>파워,4/5/6/7/8/9/10/11/12,
G_028,파워,구위>파워,-4,
G_029,구위,ALWAYS,1/2/3/4/5/5/6/6/7,
G_029,파워,ALWAYS,0.01/0.01/0.01/0.01/0.01/0.02/0.02/0.03/0.03,정확+주루
G_029,정확,ALWAYS,0.01/0.01/0.01/0.01/0.01/0.02/0.02/0.03/0.03,정확+주루
G_030,파워,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,정확,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,선구,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,인내,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,주루,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,수비,ALWAYS,1/1/1/2/2/3/3/4/4,
G_030,파워,ALWAYS,1/1/2/3/4/4/5/6/7,
G_030,선구,ALWAYS,1/1/2/3/4/4/5/6/7,
G_030,정확,ALWAYS,1/2/3/4/5/5/8/9/10,
G_031,구위,ALWAYS,2/3/4/5/6/7/8/9/10,
G_031,파워,ALWAYS,1/1/2/3/4/5/6/7/8,
