card_grade,card_variant,stat,values
HOF,NONE,파워,2/3/4/6/7/8/10/11/12/14/15/16/17/18/19/20/21/22/23/25
HOF,NONE,정확,1/3/4/5/7/8/9/11/12/14/15/16/17/18/19/20/21/22/23/25
HOF,NONE,선구,1/2/4/5/6/8/9/10/12/14/15/16/17/18/19/20/21/22/23/25
HOF,NONE,변화,1/2/3/4/5/6/7/8/9/10/11/13/14/15/17/18/20/21/23/25
HOF,NONE,구위,1/2/3/4/5/6/7/8/9/10/12/13/14/16/17/18/20/22/23/25
MOMENT,NONE,파워,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/15/16/18/20
MOMENT,NONE,정확,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/20
MOMENT,NONE,선구,0/1/2/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/20
MOMENT,NONE,변화,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/20
MOMENT,NONE,구위,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/15/16/18/20
PRIME,FA,파워,1/1/2/2/3/4/4/5/6/6/7/8/9/10/11/12/13/14/15/17
PRIME,FA,정확,0/1/1/2/3/3/4/5/5/6/7/8/9/10/11/12/13/14/15/17
PRIME,FA,선구,1/1/2/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/15/17
PRIME,FA,변화,0/1/1/2/3/3/4/5/5/6/7/8/9/10/11/12/13/14/15/17
PRIME,FA,구위,1/1/2/2/3/4/4/5/6/6/7/8/9/10/11/12/13/14/15/17
PRIME,NONE,파워,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/15/16/18/20
PRIME,NONE,정확,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/20
PRIME,NONE,선구,0/1/2/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/20
PRIME,NONE,변화,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/20
PRIME,NONE,구위,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/15/16/18/20
SIGNATURE,FA,파워,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/16/18/19/21
SIGNATURE,FA,정확,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/16/17/19/21
SIGNATURE,FA,선구,0/1/2/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/19/21
SIGNATURE,FA,변화,1/1/2/3/3/4/5/6/7/8/9/10/11/12/13/14/16/17/19/21
SIGNATURE,FA,구위,1/2/2/3/4/4/5/6/7/8/9/10/11/12/13/14/16/18/19/21
SIGNATURE,NONE,파워,1/2/3/4/5/6/7/8/9/10/12/13/14/16/17/18/20/22/23/25
SIGNATURE,NONE,정확,1/2/3/4/5/6/7/8/9/10/11/13/14/15/17/18/20/21/23/25
SIGNATURE,NONE,선구,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/18/19/21/23/25
SIGNATURE,NONE,변화,1/2/3/4/5/6/7/8/9/10/11/13/14/15/17/18/20/21/23/25
SIGNATURE,NONE,구위,1/2/3/4/5/6/7/8/9/10/12/13/14/16/17/18/20/22/23/25
SIGNATURE_BLACK,FA,파워,0/0/1/1/1/1/1/1/1/2
SIGNATURE_BLACK,FA,정확,1/1/1/1/1/1/1/2/2/2
SIGNATURE_BLACK,FA,선구,0/1/1/1/1/1/2/2/2/2
SIGNATURE_BLACK,FA,변화,1/1/1/1/1/1/2/2/2/2
SIGNATURE_BLACK,FA,구위,0/0/1/1/1/1/1/1/1/2
SIGNATURE_BLACK,NONE,파워,0/0/1/1/1/1/1/1/1/2
SIGNATURE_BLACK,NONE,정확,1/1/1/1/1/1/1/2/2/2
SIGNATURE_BLACK,NONE,선구,0/1/1/1/1/1/2/2/2/2
SIGNATURE_BLACK,NONE,변화,1/1/1/1/1/1/2/2/2/2
SIGNATURE_BLACK,NONE,구위,0/0/1/1/1/1/1/1/1/2
