card_grade,card_variant,stat,values
HOF,NONE,파워,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
HOF,NONE,정확,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
HOF,NONE,선구,0/0/1/1/1/2/2/2/3/4/4/5/5/5/6/6
HOF,NONE,변화,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
HOF,NONE,구위,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
MOMENT,NONE,파워,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
MOMENT,NONE,정확,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
MOMENT,NONE,선구,0/0/1/1/1/2/2/2/3/4/4/5/5/5/6/6
MOMENT,NONE,변화,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
MOMENT,NONE,구위,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
PRIME,FA,파워,0/0/0/1/1/1/2/2/2/4
PRIME,FA,정확,0/1/1/1/2/2/3/4/4/4
PRIME,FA,선구,0/0/1/1/1/2/2/2/3/4
PRIME,FA,변화,0/1/1/1/2/2/3/4/4/4
PRIME,FA,구위,0/0/0/1/1/1/2/2/2/4
PRIME,NONE,파워,0/0/0/1/1/1/2/2/2/4
PRIME,NONE,정확,0/1/1/1/2/2/3/4/4/4
PRIME,NONE,선구,0/0/1/1/1/2/2/2/3/4
PRIME,NONE,변화,0/1/1/1/2/2/3/4/4/4
PRIME,NONE,구위,0/0/0/1/1/1/2/2/2/4
SIGNATURE,FA,파워,0/0/0/1/1/1/2/2/2/4
SIGNATURE,FA,정확,0/1/1/1/2/2/3/4/4/4
SIGNATURE,FA,선구,0/0/1/1/1/2/2/2/3/4
SIGNATURE,FA,변화,0/1/1/1/2/2/3/4/4/4
SIGNATURE,FA,구위,0/0/0/1/1/1/2/2/2/4
SIGNATURE,NONE,파워,0/0/0/1/1/1/2/2/2/4
SIGNATURE,NONE,정확,0/1/1/1/2/2/3/4/4/4
SIGNATURE,NONE,선구,0/0/1/1/1/2/2/2/3/4
SIGNATURE,NONE,변화,0/1/1/1/2/2/3/4/4/4
SIGNATURE,NONE,구위,0/0/0/1/1/1/2/2/2/4
SIGNATURE_BLACK,FA,파워,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
SIGNATURE_BLACK,FA,정확,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
SIGNATURE_BLACK,FA,선구,0/0/1/1/1/2/2/2/3/4/4/5/5/5/6/6
SIGNATURE_BLACK,FA,변화,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
SIGNATURE_BLACK,FA,구위,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
SIGNATURE_BLACK,NONE,파워,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
SIGNATURE_BLACK,NONE,정확,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
SIGNATURE_BLACK,NONE,선구,0/0/1/1/1/2/2/2/3/4/4/5/5/5/6/6
SIGNATURE_BLACK,NONE,변화,0/1/1/1/2/2/3/4/4/4/5/5/5/6/6/6
SIGNATURE_BLACK,NONE,구위,0/0/0/1/1/1/2/2/2/4/4/4/5/5/5/6
