skill_id,card_type,position,name,description
S_001,NORMAL,BATTER,좌투선호,"좌투수 상대할 때 파워, 정확 능력치가 x 증가합니다"
S_002,NORMAL,BATTER,우투선호,"우투수 상대할 때 파워, 정확 능력치가 x 증가합니다"
S_003,NORMAL,BATTER,타점기계,"주자가 2루 이상일 때 파워, 정확 능력치가 x+1 증가합니다"
S_004,NORMAL,BATTER,타선연결,직전 타자가 출루 성공 시 모든 능력치가 x 증가합니다
S_005,NORMAL,BATTER,선구안,볼일 때 체크스윙할 확률이 3*x% 증가합니다
S_006,NORMAL,PITCHER,좌타 스페셜리스트,"상대가 좌타자인 경우 타자의 파워, 정확 능력치가 x 감소합니다"
S_007,NORMAL,PITCHER,우타 스페셜리스트,"상대가 우타자인 경우 타자의 파워, 정확 능력치가 x 감소합니다"
S_008,NORMAL,PITCHER,위기관리,"주자가 2루 이상 있을 때 타자의 파워, 정확 능력치가 x+1 감소합니다"
S_009,NORMAL,PITCHER,완급조절,"상대 3, 4, 5 타순 상대 시 구속, 구위, 변화, 제구 능력치가 x 증가합니다"
B_001,NORMAL,BATTER,초구공략,초구 상황에서 모든 능력치가 x 증가합니다
B_002,NORMAL,BATTER,인내심,"지고 있을 때 파워, 정확, 선구 능력치가 x 증가합니다"
B_003,NORMAL,BATTER,승부근성,"이기고 있을 때 파워, 정확, 선구 능력치가 x 증가합니다"
B_004,NORMAL,BATTER,테이블 세터,"주자가 없을 때 정확, 선구, 인내 능력치가 x 증가합니다"
B_005,NORMAL,BATTER,스윗스팟,좋은 타격 타이밍일 때 파워 능력치가 y 증가합니다
B_006,NORMAL,PITCHER,평정심,"구위 능력치가 x, 제구 능력치가 y 증가합니다"
B_007,NORMAL,PITCHER,이닝이터,지구력 능력치가 x 증가합니다
B_008,NORMAL,PITCHER,기선제압,"등판 후 상대하는 첫 타자의 파워, 정확, 인내, 선구 능력치가 x 감소합니다."
B_009,NORMAL,PITCHER,라스트 카운트,2아웃일 때 상대 타자의 파워 능력치가 x+1 감소합니다
B_010,NORMAL,PITCHER,자신감,"직전 타자를 삼진 아웃 시켰을 시 구속, 변화 능력치가 x+1 증가합니다"
I_001,NORMAL,BATTER,밀어치기,밀어치기 시 파워 능력치가 x+1 증가합니다
I_002,NORMAL,BATTER,당겨치기,밀어치기 시 파워 능력치가 x+1 증가합니다
I_003,NORMAL,BATTER,직구 스페셜리스트,"직구 상대 시 정확 능력치가 x, 인내 능력치가 y 증가합니다"
I_004,NORMAL,BATTER,풀카운트,풀카운트 시 모든 능력치가 x 증가합니다.
I_005,NORMAL,BATTER,변화구 스페셜리스트,"변화구 상대 시 정확 능력치가 x, 인내 능력치가 y 증가합니다"
I_006,NORMAL,BATTER,번트전문,번트 성공 시 5*(x+2)% 확률로 아주 좋은 타구가 발생합니다
I_007,NORMAL,PITCHER,속구 선호,"속구 선택 시 구속 능력치가 x, 구위 능력치가  증가합니다"
I_008,NORMAL,PITCHER,변화구 선호,"변화구 선택 시 변화 능력치가 x, 제구 능력치가  증가합니다"
I_009,NORMAL,PITCHER,풀카운트,"풀카운트에서 구속, 구위, 변화, 제구 능력치가 x 증가합니다"
I_010,NORMAL,PITCHER,사고방지,볼이 한가운데로 몰리는 실투가 발생할 확률이 0.5*x% 감소합니다
G_001,NORMAL,BATTER,배팅머신,"파워, 정확, 선구 능력치가 {x+1} 증가합니다."
G_002,NORMAL,BATTER,어퍼스윙,낮은 볼 타격 시 파워 능력치가 {x} 증가하고 타구 발사각을 장타쪽으로 {x+2}도 보정합니다.
G_003,NORMAL,BATTER,하이볼 히터,높은 볼 타격 시 파워 능력치가 {y} 증가합니다.
G_004,NORMAL,BATTER,클러치 히터,주자가 있을 때 파워 능력치가 {x} 증가합니다. 주자가 더해질수록 추가로 {x}씩 더 증가합니다
G_005,NORMAL,BATTER,노림수,정확 및 인내 능력치가 {x+3} 증가합니다
G_006,NORMAL,BATTER,클린업 트리오,"평균 발사각이 3 증가합니다. 3, 4, 5 타선에 배치시 추가로 파워 정확 능력치가 {x} 증가합니다"
G_007,NORMAL,BATTER,패기,"상대 투수의 OVR이 더 높은 경우 파워, 정확, 선구, 인내 능력치가 {x+2} 증가합니다"
G_008,NORMAL,BATTER,빠른 발,주루 능력치가 {x+2} 증가합니다. 도루 시도 시 추가로 주루 능력치가 {x+2} 증가합니다
G_009,NORMAL,BATTER,홈 어드밴티지,"파워, 정확, 인내 능력치가 {x} 증가합니다. 홈 경기인 경우 추가로 파워, 정확, 인내 능력치가 1 증가합니다."
G_010,NORMAL,BATTER,리드오프,"선구, 주루 능력치가 {x+2} 증가합니다, 상위타선(1, 2번)에 배치되는 경우 추가로 정확, 인내 능력치가 {y} 증가합니다"
