name,tier,position,condition,logic_code,growth_pattern,description
Contender,GOLD,PITCHER,ALWAYS,,,TBD
Contender,GOLD,BATTER,ALWAYS,,,TBD
Road Warrior,GOLD,PITCHER,ALWAYS,,,TBD
Road Warrior,GOLD,BATTER,ALWAYS,,,TBD
Victory Roar,GOLD,PITCHER,ALWAYS,,,TBD
Victory Roar,GOLD,BATTER,ALWAYS,,,TBD
Focus,GOLD,PITCHER,ALWAYS,,,TBD
Focus,GOLD,BATTER,ALWAYS,,,TBD
Take Control,GOLD,PITCHER,ALWAYS,,,TBD
Take Control,GOLD,BATTER,ALWAYS,,,TBD
Full-Pressure,GOLD,PITCHER,ALWAYS,,,TBD
Full-Pressure,GOLD,BATTER,ALWAYS,,,TBD
Team Unity,GOLD,PITCHER,ALWAYS,,,TBD
Team Unity,GOLD,BATTER,ALWAYS,,,TBD
Build-Up,GOLD,PITCHER,ALWAYS,,,TBD
Build-Up,GOLD,BATTER,ALWAYS,,,TBD
Overpace,GOLD,PITCHER,ALWAYS,,,TBD
Overpace,GOLD,BATTER,ALWAYS,,,TBD
Spirit,GOLD,PITCHER,ALWAYS,,,TBD
Spirit,GOLD,BATTER,ALWAYS,,,TBD
Home Advantage,GOLD,PITCHER,ALWAYS,,,TBD
Home Advantage,GOLD,BATTER,ALWAYS,,,TBD
Winning Instinct,GOLD,PITCHER,ALWAYS,,,TBD
Winning Instinct,GOLD,BATTER,ALWAYS,,,TBD
Daring Heart,GOLD,PITCHER,ALWAYS,,,TBD
Daring Heart,GOLD,BATTER,ALWAYS,,,TBD
Competition,GOLD,PITCHER,ALWAYS,,,TBD
Competition,GOLD,BATTER,ALWAYS,,,TBD
Top Player,GOLD,PITCHER,ALWAYS,,,TBD
Top Player,GOLD,BATTER,ALWAYS,,,TBD
Hero,GOLD,PITCHER,ALWAYS,,,TBD
Hero,GOLD,BATTER,ALWAYS,,,TBD
League Dominator,GOLD,PITCHER,ALWAYS,,,TBD
League Dominator,GOLD,BATTER,ALWAYS,,,TBD
Double Stopper,GOLD,PITCHER,ALWAYS,,,TBD
One-Two Punch,GOLD,PITCHER,ALWAYS,,,TBD
Putaway Pitch,GOLD,PITCHER,ALWAYS,,,TBD
Pinpoint Control,GOLD,PITCHER,ALWAYS,,,TBD
One of a Kind,GOLD,PITCHER,ALWAYS,,,TBD
Chase Zone,GOLD,PITCHER,ALWAYS,,,TBD
Hot Hand,GOLD,PITCHER,ALWAYS,,,TBD
Ace,GOLD,PITCHER,ALWAYS,,,TBD
Untouchable,GOLD,PITCHER,ALWAYS,,,TBD
Quality Start,GOLD,PITCHER,ALWAYS,,,TBD
Setup Man,GOLD,PITCHER,ALWAYS,,,TBD
Hard Training,GOLD,PITCHER,ALWAYS,,,TBD
Specialization,GOLD,PITCHER,ALWAYS,,,TBD
Batter Support,GOLD,PITCHER,ALWAYS,,,TBD
Clutch Pitcher,GOLD,PITCHER,ALWAYS,,,TBD
Momentum Breaker,GOLD,PITCHER,ALWAYS,,,TBD
The Artist,GOLD,PITCHER,ALWAYS,,,TBD
Guardian,GOLD,PITCHER,ALWAYS,,,TBD
Good Start,GOLD,PITCHER,ALWAYS,,,TBD
Short Reliever,GOLD,PITCHER,ALWAYS,,,TBD
Rising Star,GOLD,PITCHER,ALWAYS,,,TBD
Aggressive Hitter,GOLD,BATTER,ALWAYS,,,TBD
Comeback Hitter,GOLD,BATTER,ALWAYS,,,TBD
Contact Specialist,GOLD,BATTER,ALWAYS,,,TBD
Hitting Machine,GOLD,BATTER,ALWAYS,,,TBD
Uppercut Swing,GOLD,BATTER,ALWAYS,,,TBD
High Ball Hitter,GOLD,BATTER,ALWAYS,,,TBD
Clutch Hitter,GOLD,BATTER,ALWAYS,,,TBD
Patient Hitter,GOLD,BATTER,ALWAYS,,,TBD
Cleanup Trio,GOLD,BATTER,ALWAYS,,,TBD
Speedy Runner,GOLD,BATTER,ALWAYS,,,TBD
Lead-Off,GOLD,BATTER,ALWAYS,,,TBD
Five-Tool Player,GOLD,BATTER,ALWAYS,,,TBD
Contact Hitter,GOLD,BATTER,ALWAYS,,,TBD
Game Calling,GOLD,BATTER,ALWAYS,,,TBD
Power-Speed Threat,GOLD,BATTER,ALWAYS,,,TBD
Two-Strike Hitter,GOLD,BATTER,ALWAYS,,,TBD
Pinch Hit Specialist,GOLD,BATTER,ALWAYS,,,TBD
Bottom of the Lineup,GOLD,BATTER,ALWAYS,,,TBD
Heart of the Lineup,GOLD,BATTER,ALWAYS,,,TBD
Late Game Focus,GOLD,BATTER,ALWAYS,,,TBD
Defense Specialist,GOLD,BATTER,ALWAYS,,,TBD
Lefty Crusher,SILVER,PITCHER,ALWAYS,,,TBD
Righty Crusher,SILVER,PITCHER,ALWAYS,,,TBD
RBI Machine,SILVER,BATTER,ALWAYS,,,TBD
Batting Rally,SILVER,BATTER,ALWAYS,,,TBD
Keen Eye,SILVER,BATTER,ALWAYS,,,TBD
Left-handed Specialist,SILVER,BATTER,ALWAYS,,,TBD
Right-handed Specialist,SILVER,BATTER,ALWAYS,,,TBD
Damage Control,SILVER,BATTER,ALWAYS,,,TBD
Pace Control,SILVER,BATTER,ALWAYS,,,TBD
Composure,BRONZE,PITCHER,ALWAYS,,,TBD
Inning Eater,BRONZE,PITCHER,ALWAYS,,,TBD
Head Start,BRONZE,PITCHER,ALWAYS,,,TBD
Last Count,BRONZE,PITCHER,ALWAYS,,,TBD
Confidence,BRONZE,PITCHER,ALWAYS,,,TBD
First Pitch Hitter,BRONZE,BATTER,ALWAYS,,,TBD
Patience,BRONZE,BATTER,ALWAYS,,,TBD
Fighting Spirit,BRONZE,BATTER,ALWAYS,,,TBD
Table Setter,BRONZE,BATTER,ALWAYS,,,TBD
Sweet Spot,BRONZE,BATTER,ALWAYS,,,TBD
Push Hitting,IRON,BATTER,ALWAYS,,,TBD
Pull Hitting,IRON,BATTER,ALWAYS,,,TBD
Fastball Specialist,IRON,BATTER,ALWAYS,,,TBD
Breaking Ball Specialist,IRON,BATTER,ALWAYS,,,TBD
Bunt Expert,IRON,BATTER,ALWAYS,,,TBD
Full Count,IRON,BATTER,ALWAYS,,,TBD
Fastball Preference,IRON,PITCHER,ALWAYS,,,TBD
Breaking Ball Preference,IRON,PITCHER,ALWAYS,,,TBD
Accident Prevention,IRON,PITCHER,ALWAYS,,,TBD
Full Count,IRON,PITCHER,ALWAYS,,,TBD
Franchise,MOMENT,BATTER,ALWAYS,,,TBD
Breakout Star,MOMENT,BATTER,ALWAYS,,,TBD
Playoff Hero,MOMENT,BATTER,ALWAYS,,,TBD
Seasoned Player,MOMENT,BATTER,ALWAYS,,,TBD
Hot Start,MOMENT,BATTER,ALWAYS,,,TBD
2025 Performer Trio,MOMENT,BATTER,ALWAYS,,,TBD
Franchise,MOMENT,PITCHER,ALWAYS,,,TBD
Breakout Star,MOMENT,PITCHER,ALWAYS,,,TBD
Playoff Hero,MOMENT,PITCHER,ALWAYS,,,TBD
Seasoned Player,MOMENT,PITCHER,ALWAYS,,,TBD
Hot Start,MOMENT,PITCHER,ALWAYS,,,TBD
2025 Performer Trio,MOMENT,PITCHER,ALWAYS,,,TBD
Slugger,MOMENT,BATTER,ALWAYS,,,TBD
Up The Middle,MOMENT,BATTER,ALWAYS,,,TBD
Power Hitter,MOMENT,BATTER,ALWAYS,,,TBD
Hit Machine,MOMENT,BATTER,ALWAYS,,,TBD
Leadership,MOMENT,BATTER,ALWAYS,,,TBD
All-Around,MOMENT,BATTER,ALWAYS,,,TBD
Primary Setup,MOMENT,PITCHER,ALWAYS,,,TBD
Frontline,MOMENT,PITCHER,ALWAYS,,,TBD
Elite,MOMENT,PITCHER,ALWAYS,,,TBD
Bullpen Ace,MOMENT,PITCHER,ALWAYS,,,TBD
Closer,MOMENT,PITCHER,ALWAYS,,,TBD
Swingman,MOMENT,PITCHER,ALWAYS,,,TBD
Adaptive Hitter,HOF,BATTER,ALWAYS,,,TBD
Strong Arm,HOF,BATTER,ALWAYS,,,TBD
Back-to-Back,HOF,BATTER,ALWAYS,,,TBD
Deception Hunter,HOF,BATTER,ALWAYS,,,TBD
Slow Starter,HOF,BATTER,ALWAYS,,,TBD
Record Holder,HOF,BATTER,ALWAYS,,,TBD
League Dominator,HOF,BATTER,ALWAYS,,,TBD
Speed & Contact,HOF,BATTER,ALWAYS,,,TBD
Born to Slug,HOF,BATTER,ALWAYS,,,TBD
Hidden Threat,HOF,BATTER,ALWAYS,,,TBD
Game Changer,HOF,BATTER,ALWAYS,,,TBD
Free Swinger,HOF,BATTER,ALWAYS,,,TBD
Hitting Expertise,HOF,BATTER,ALWAYS,,,TBD
Second Chance,HOF,BATTER,ALWAYS,,,TBD
Mind Game,HOF,BATTER,ALWAYS,,,TBD
Batter Chemistry,HOF,BATTER,ALWAYS,,,TBD
Hard Hitter,HOF,BATTER,ALWAYS,,,TBD
Ace Specialist,HOF,BATTER,ALWAYS,,,TBD
Workhorse,HOF,PITCHER,ALWAYS,,,TBD
Spark Plug,HOF,PITCHER,ALWAYS,,,TBD
Bottom Order Dominator,HOF,PITCHER,ALWAYS,,,TBD
Deception Commander,HOF,PITCHER,ALWAYS,,,TBD
Slow Starter,HOF,PITCHER,ALWAYS,,,TBD
Record Holder,HOF,PITCHER,ALWAYS,,,TBD
League Dominator,HOF,PITCHER,ALWAYS,,,TBD
Frontline Ace,HOF,PITCHER,ALWAYS,,,TBD
Reliable Arm,HOF,PITCHER,ALWAYS,,,TBD
Fireman,HOF,PITCHER,ALWAYS,,,TBD
Held The Lead,HOF,PITCHER,ALWAYS,,,TBD
Standing Tall,HOF,PITCHER,ALWAYS,,,TBD
Escape Artist,HOF,PITCHER,ALWAYS,,,TBD
Easy Inning,HOF,PITCHER,ALWAYS,,,TBD
Committed Finisher,HOF,PITCHER,ALWAYS,,,TBD
Final Boss,HOF,PITCHER,ALWAYS,,,TBD
Pitcher Chemistry,HOF,PITCHER,ALWAYS,,,TBD
Ace Specialist,HOF,PITCHER,ALWAYS,,,TBD
Steady Form,BLACK,PITCHER,ALWAYS,,,TBD
Golden Spirit,BLACK,PITCHER,ALWAYS,,,TBD
League Master,BLACK,PITCHER,ALWAYS,,,TBD
Mound Star,BLACK,PITCHER,ALWAYS,,,TBD
Scoreless Start,BLACK,PITCHER,ALWAYS,,,TBD
Courage,BLACK,PITCHER,ALWAYS,,,TBD
Composed Mind,BLACK,PITCHER,ALWAYS,,,TBD
Lead Control,BLACK,PITCHER,ALWAYS,,,TBD
Best Condition,BLACK,PITCHER,ALWAYS,,,TBD
Challenger Instinct,BLACK,PITCHER,ALWAYS,,,TBD
Pure Hitter,BLACK,BATTER,ALWAYS,,,TBD
Golden Spirit,BLACK,BATTER,ALWAYS,,,TBD
League Master,BLACK,BATTER,ALWAYS,,,TBD
Run Producer,BLACK,BATTER,ALWAYS,,,TBD
Courage,BLACK,BATTER,ALWAYS,,,TBD
RBI Hunter,BLACK,BATTER,ALWAYS,,,TBD
Challenger Instinct,BLACK,BATTER,ALWAYS,,,TBD
First Strike,BLACK,BATTER,ALWAYS,,,TBD
Insight,BLACK,BATTER,ALWAYS,,,TBD
Batting Prodigy,BLACK,BATTER,ALWAYS,,,TBD
Free Agent,MOMENT,BATTER,ALWAYS,ALWAYS:ALL+@VAL,FIXED_5,"Increases all stats by 5. Additionally increases MOV, STU, and EDR by 5 in home games. Decreases the opposing batter's POW, CON, and PAT by 5 in away games."
Free Agent,MOMENT,BATTER,HOME,"HOME:POW+@VAL/CON+@VAL/PAT+@VAL",FIXED_5,
Free Agent,MOMENT,BATTER,AWAY,"AWAY:OPP_MOV-@VAL/OPP_STU-@VAL/OPP_EDR-@VAL",FIXED_5,
Hitting Machine,GOLD,BATTER,ALWAYS,"ALWAYS:POW+@VAL/CON+@VAL/EYE+@VAL",STAT_LOW,"Increases POW, CON, and VIS by 2."
