skill_id,reason,text
S_005,비스탯효과,볼일 때 체크스윙할 확률이 3*x% 증가합니다
I_006,비스탯효과,번트 성공 시 5*(x+2)% 확률로 아주 좋은 타구가 발생합니다
I_010,비스탯효과,볼이 한가운데로 몰리는 실투가 발생할 확률이 0.5*x% 감소합니다
G_002,비스탯효과,낮은 볼 타격 시 파워 능력치가 {x} 증가하고 타구 발사각을 장타쪽으로 {x+2}도 보정합니다
G_004,수동검토,주자가 더해질수록 추가로 {x}씩 더 증가합니다
G_006,비스탯효과,평균 발사각이 3 증가합니다
G_025,비스탯효과,"1, 2번 타순에 배치시 평균 발사각이 3도 감소하고 추가로 정확 선구 주루 능력치가 z 증가합니다"
G_035,비스탯효과,평균 발사각이 3도 감소합니다
G_066,비스탯효과,"2 스트라이크 이후 추가로 구위, 변화, 제구 능력치가 z 증가하고 모든 구종 등급이 1단계 상승합니다"
G_073,비스탯효과,"상대 타자의 체크 스윙 확률을 x+2% 감소 시키고 파워, 정확 능력치를 추가로 y 감소시킵니다"
M_006,수동검토,(해당 스킬은 중복 적용되지 않습니다
M_027,수동검토,"(CP 배치 효과 : 다른 스킬과 중복 가능, 동일 스킬과 중복 불가)"
M_035,수동검토,주자가 더해질수록 추가로 3 씩 더 증가합니다
M_038,수동검토,주자가 더해질수록 추가로 3씩 더 증가합니다
WBC_011,수동검토,라인업에 등록된 모든 투수의 구위 능력치를 y
WBC_011,수동검토,"(라인업 등록 효과 : 다른 스킬과 중복 가능, 동일 스킬과 중복 불가)"
BLACK_001,비스탯효과,"DH로 출전하고 평균 발사각이 10도 이상인 경우 파워, 인내 능력치가 y 증가합니다"
BLACK_001,비스탯효과,"DH로 출전하고 평균 발사각이 14도 이하인 경우 정확, 선구 능력치가 y 증가하고 상대 투수의 구위, 변화, 구속 능력치를 z 감소시킵니다"
BLACK_004,비스탯효과,"주자가 있을 때 평균 발사각이 2도 증가하고 파워, 정확 능력치가 추가로 z 증가합니다"
BLACK_004,비스탯효과,"주자가 없을 때 평균 발사각이 2도 감소하고 정확, 선구, 인내 능력치가 추가로 a 증가합니다"
HOF_004,비스탯효과,평균 발사각이 3 감소합니다
HOF_005,비스탯효과,평균 발사각이 z 증가합니다
